"gene_name","cluster_index"
"PDCD6",5
"ARF1",5
"YWHAE",5
"CANX",5
"SEC61G",5
"UBE2D3",5
"AP1S2",5
"CCDC88A",5
"ATP1B1",5
"TMEM50A",5
"PIM3",5
"EHD1",5
"TMEM167A",5
"KIF5B",5
"SH3GLB1",5
"SFT2D1",5
"DYNLT1",5
"RAB31",5
"ROMO1",5
"HM13",5
"MPC2",5
"PCM1",5
"SEC62",5
"NMT1",5
"PLK3",5
"CEP350",5
"RILPL2",5
"HUWE1",5
"AP2B1",5
"SUMO3",5
"SIL1",5
"IFI27",5
"LYST",5
"SLC5A3",5
"SRP19",5
"CAMK1",5
"IST1",5
"ARF6",5
"SELENOT",5
"NCOA4",5
"NFKBIE",5
"RFTN1",5
"PTP4A3",5
"TNPO1",5
"MARK3",5
"RAB8B",5
"SNX9",5
"DNAJC15",5
"SEC63",5
"KCNN4",5
"TRAM1",5
"MFF",5
"DAB2",5
"DERL1",5
"ABHD17A",5
"SLU7",5
"UHMK1",5
"AP3D1",5
"KPNA4",5
"CSNK1D",5
"OPTN",5
"MESD",5
"CHTOP",5
"PDIA4",5
"GOLGB1",5
"B2M",6
"FCER1G",6
"IFI6",6
"REL",6
"HSPA8",6
"HLA-E",6
"NPC2",6
"CALR",6
"HLA-C",6
"PRDX1",6
"NFE2L2",6
"ZMPSTE24",6
"NFKB1",6
"IFITM3",6
"RTN4",6
"NINJ1",6
"CXCL2",6
"TNIP1",6
"PTGER4",6
"NUB1",6
"GNLY",6
"TREM2",6
"NCF1",6
"CSNK1A1",6
"CDC37",6
"ST13",6
"ZC3HAV1",6
"MMP7",6
"IFITM2",6
"RAC2",6
"RNASET2",6
"CD58",6
"LITAF",6
"CCL2",6
"CNPY3",6
"SELENOW",6
"CASP4",6
"PSMA1",6
"CFD",6
"GBP2",6
"STMP1",6
"PJA2",6
"DDX60L",6
"C5AR2",6
"FABP4",6
"TENT5A",6
"STIP1",6
"LGALS9",6
"FXR1",6
"CELF1",6
"MAP3K8",6
"FYB1",6
"CD14",6
"ANXA1",6
"PTPRC",6
"TRIB1",6
"MRPL15",6
"ASS1",6
"GBP3",6
"RAB1A",6
"NMI",6
"ATG12",6
"IRAK2",6
"C5AR1",6
"HMGB3",6
"PLD4",6
"CD47",6
"PUM1",6
"PTPN1",6
"SMARCA5",6
"OTULIN",6
"GBP1",6
"PLCG2",6
"IFNAR1",6
"TIMP1",7
"BCL2A1",7
"BTG1",7
"YWHAZ",7
"LAPTM5",7
"CDKN1A",7
"TNFAIP3",7
"MCL1",7
"PPIF",7
"IGFBP3",7
"EMP3",7
"BCAP31",7
"HSPA5",7
"RIPK2",7
"MORF4L1",7
"PHLDA1",7
"PTGS2",7
"RASA1",7
"TRAF1",7
"HSPA9",7
"TOP1",7
"BIRC2",7
"ANP32A",7
"GNAI2",7
"GLO1",7
"RGCC",7
"RPS6KA3",7
"RB1CC1",7
"ITM2C",7
"EMP1",7
"MTRNR2L12",7
"BCL2L11",7
"CAST",7
"BAG1",7
"ITGA5",7
"PTTG1IP",7
"PAK2",7
"YME1L1",7
"TFRC",7
"TMBIM4",7
"TAF10",7
"CCAR1",7
"SELENOS",7
